,Source,Destination,DeltaDeltaG,DeltaDeltaG Error,CCC,CCCError,Experimental DeltaDeltaG,MLE,MAP,VI,VI_uncertainty,GMVI,GMVI_uncertainty,Outlier Probability
0,CHEMBL3402763_90,CHEMBL3402760_1,-7.920714131118,1.255705854993,-0.159121700777,0.765679678581,-2.67,-4.041769027709961,-2.346538543701172,-2.3413847237825394,0.6484309246652695,0.06134694628417492,0.6146963220961676,1.0
1,CHEMBL3402763_90,CHEMBL3402764_90,1.18578550445,0.768274981023,-0.490756770535,0.882717920556,0.0,-0.4014415740966797,-0.13277602195739746,-0.1209113597869873,0.7077649512564359,0.48562905564904213,0.9347571371894631,0.01584102399647236
2,CHEMBL3402741_400,CHEMBL3402763_90,0.812703319868,0.796330747028,2.132967895104,0.907470907973,-0.879999999999999,3.1044111251831055,2.4835375398397446,2.4798217117786407,0.7104763744811777,0.431034442037344,0.6516560340718033,0.012368015013635159
3,CHEMBL3402759_5.7,CHEMBL3402760_1,5.178187789336,0.756887087032,-2.850062530197,0.622040756318,-1.0299999999999994,-0.6530075073242188,-1.2116643190383911,-1.2146802693605423,0.6456574978623414,-0.4205400701612234,0.5621260961759391,0.9997406601905823
4,CHEMBL3402741_400,CHEMBL3402760_1,0.684415582031,1.244458248067,1.973846194327,0.764957170363,-3.549999999999999,-0.9373579025268555,0.1369989961385727,0.13843698799610138,0.6486822781767237,0.4923813883215189,0.5430498957209626,0.011218715459108353
5,CHEMBL3402756_2.7,CHEMBL3402760_1,-1.049523039718,0.560581223871,4.40179811753,0.608197238091,-0.5899999999999999,4.944412708282471,3.2662689685821533,3.2667645663022995,0.645973421917131,-0.0203621294349432,0.514491733778963,0.01844601146876812
6,CHEMBL3402762_1,CHEMBL3402760_1,1.226583812016,0.885499464646,-5.899481216801,0.720641970263,0.0,-1.1933565139770508,-1.9643912315368652,-1.969210460782051,0.6459865224517964,0.4437666181474924,0.5242676694066624,0.014925911091268063
7,CHEMBL3402741_400,CHEMBL3402764_90,3.372942306622,0.770597508429,1.642211124569,0.88209128188,-0.879999999999999,2.702969551086426,2.350761517882347,2.3589103519916534,0.7079952402278656,0.9166634976863861,0.8892820285885876,0.28302183747291565
8,CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402764_90,3.282358777891,0.908703422731,8.034487065351,0.829007854064,1.25,5.539529800415039,3.171071231365204,3.181152880191803,0.7631378053569959,0.858342707157135,0.9903109145271227,0.3142026960849762
9,CHEMBL3402759_5.7,CHEMBL3402756_2.7,-13.817108964647,0.515003405613,-7.251860647727,0.639466331466,-0.4399999999999995,-5.5974202156066895,-4.477933287620544,-4.481444835662842,0.7054647992510363,-0.4001779407262802,0.5767047088675207,1.0
10,CHEMBL3402759_5.7,CHEMBL3402757_6.5,-0.324341538319,0.580283382933,-3.94056886224,0.622571070285,0.08000000000000007,-2.7128477096557617,-1.8237557411193848,-1.8286778628826141,0.6714977387645453,-0.20497466623783112,0.5690730834676833,0.010985276661813259
11,CHEMBL3402757_6.5,CHEMBL3402756_2.7,-0.658825606402,0.598450476183,-3.311291785487,0.608739612196,-0.5199999999999996,-2.8845725059509277,-2.6541775465011597,-2.6527669727802277,0.6718015111946131,-0.1952032744884491,0.5220729551052217,0.012131561525166035
12,CHEMBL3402758_10,CHEMBL3402757_6.5,0.823590049108,0.595036421264,4.470900865775,0.652979400571,-0.2599999999999998,-2.2732343673706055,-1.4145324230194092,-1.4198285043239594,0.7325780114447125,-0.14575304090976715,0.5357935354807892,0.017369233071804047
13,CHEMBL3402757_6.5,CHEMBL3402742_23,1.032290506668,1.023420430666,8.330528676114,0.700623684861,0.75,-2.2272839546203613,-1.0837254524230957,-1.086619883775711,0.6687055121225316,-0.2641492020338774,0.5761301243844683,0.026280852034687996
15,CHEMBL3402743_42,CHEMBL3402742_23,-1.147855873656,0.728159678307,-13.240496010788,0.753679601799,-0.35999999999999943,4.368900775909424,3.03350293636322,3.021291732788086,0.7631220611002781,-0.35452490858733654,0.6701101358010263,0.015037423931062222
16,CHEMBL3402743_42,CHEMBL3402762_1,15.366135446519,1.173288875062,-14.581037138058,0.772751110461,-2.219999999999999,9.849381446838379,6.693711042404175,6.69111967086792,0.765847513545799,-0.7497077286243439,0.6323264104799956,1.0
18,CHEMBL3402758_10,CHEMBL3402762_1,-2.116864025555,1.035356961137,11.460888414619,0.772738971437,-1.3699999999999992,0.9799623489379883,1.1619502305984497,1.1633795499801636,0.7638447735205984,-0.8050850629806519,0.5531488991435931,0.026689736172556877
19,CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402742_23,-0.130731115503,0.996772302866,15.60614447918,0.797885069363,0.4399999999999995,-2.3879218101501465,-0.7385081648826599,-0.739937961101532,0.7606362584944663,0.3854767996817827,0.7488422352554613,0.01271514780819416
